"","Country","iso3","voice2018","absViolence2018","govEffect2018","regQual2018","ruloLaw2018","contCorrup2018"
"15","Aruba","ABW","1.3059251308441162","1.3661186695098877","1.0583916902542114","0.85314399003982544","1.2975752353668213","1.2520265579223633"
"16","Andorra","ADO","1.0695887804031372","1.4254319667816162","1.944975733757019","1.1879205703735352","1.6077382564544678","1.2386144399642944"
"17","Afghanistan","AFG","-0.9947197437286377","-2.7467296123504639","-1.4572852849960327","-1.1326335668563843","-1.6684776544570923","-1.4966481924057007"
"18","Angola","AGO","-0.91959363222122192","-0.31903493404388428","-1.052086353302002","-0.99981296062469482","-1.0480227470397949","-1.1445406675338745"
"20","Albania","ALB","0.20636953413486481","0.38210004568099976","0.1147879883646965","0.2817101776599884","-0.39224302768707275","-0.52186667919158936"
"22","United Arab Emirates","ARE","-1.1093342304229736","0.74323815107345581","1.4312909841537476","0.9316171407699585","0.80644762516021729","1.1516079902648926"
"23","Argentina","ARG","0.56530153751373291","1.993192732334137E-2","2.5987762957811356E-2","-0.24306967854499817","-0.24000777304172516","-8.3467543125152588E-2"
"24","Armenia","ARM","-0.11345826834440231","-0.41878026723861694","-2.4339372292160988E-2","0.26925575733184814","-0.15002621710300446","-0.34911265969276428"
"26","Antigua and Barbuda","ATG","0.61853504180908203","0.72614318132400513","-6.0095652006566525E-3","0.41154804825782776","0.39332577586174011","0.27663460373878479"
"27","Australia","AUS","1.4281481504440308","0.9765741229057312","1.5964949131011963","1.9292834997177124","1.7152789831161499","1.8062008619308472"
"28","Austria","AUT","1.3806718587875366","0.91752320528030396","1.4533424377441406","1.5447174310684204","1.8758341073989868","1.596261739730835"
"29","Azerbaijan","AZE","-1.4979943037033081","-0.69673305749893188","-0.10046741366386414","-0.38072419166564941","-0.60021764039993286","-0.82860308885574341"
"30","Burundi","BDI","-1.6515653133392334","-1.5979510545730591","-1.4199815988540649","-0.98258298635482788","-1.4966113567352295","-1.4506328105926514"
"31","Belgium","BEL","1.3972533941268921","0.41235604882240295","1.171748161315918","1.2338608503341675","1.3679003715515137","1.5102791786193848"
"32","Benin","BEN","0.2674124538898468","-0.13242100179195404","-0.56598663330078125","-0.33911466598510742","-0.67517036199569702","-0.38337436318397522"
"33","Burkina Faso","BFA","-4.322507232427597E-2","-1.0409072637557983","-0.57834291458129883","-0.38632485270500183","-0.4455682635307312","-0.11239501088857651"
"34","Bangladesh","BGD","-0.72841370105743408","-1.0324797630310059","-0.74839931726455688","-0.82627272605895996","-0.64023637771606445","-0.9050215482711792"
"35","Bulgaria","BGR","0.32338210940361023","0.41963863372802734","0.27187573909759521","0.57658028602600098","-2.956700325012207E-2","-0.15153354406356812"
"36","Bahrain","BHR","-1.4059069156646729","-0.84044241905212402","0.17987743020057678","0.44606748223304749","0.41270878911018372","-0.14728666841983795"
"37","Bahamas, The","BHS","0.79563462734222412","0.87211668491363525","0.5391499400138855","0.15110792219638824","9.6994735300540924E-2","1.1311018466949463"
"38","Bosnia and Herzegovina","BIH","-0.24359065294265747","-0.39232420921325684","-0.61853981018066406","-0.206438347697258","-0.23321111500263214","-0.57180225849151611"
"39","Belarus","BLR","-1.3507689237594604","0.35353192687034607","-0.30103033781051636","-0.66005778312683105","-0.83296585083007812","-0.19227556884288788"
"40","Belize","BLZ","0.45075336098670959","1.5672719106078148E-2","-0.59388840198516846","-0.65932625532150269","-0.82395398616790771","-0.13819204270839691"
"42","Bolivia","BOL","-4.2587254196405411E-2","-0.24284106492996216","-0.32209938764572144","-0.89451253414154053","-1.1496201753616333","-0.62591004371643066"
"43","Brazil","BRA","0.38856860995292664","-0.35701760649681091","-0.44743737578392029","-0.31327477097511292","-0.27764362096786499","-0.41969555616378784"
"44","Barbados","BRB","1.1245898008346558","0.92143285274505615","0.4269726574420929","0.54018580913543701","0.39490935206413269","1.4113733768463135"
"45","Brunei Darussalam","BRN","-0.84325921535491943","1.2011491060256958","1.2527142763137817","0.68517899513244629","0.62925010919570923","0.7953076958656311"
"46","Bhutan","BTN","6.0540687292814255E-2","1.1046051979064941","0.35889732837677002","-0.33462589979171753","0.55209255218505859","1.6465139389038086"
"47","South Sudan","SSD","-1.9775987863540649","-2.4393157958984375","-2.4494092464447021","-2.0640909671783447","-1.9584078788757324","-1.7279535531997681"
"48","Botswana","BWA","0.47474023699760437","0.97915619611740112","0.33344107866287231","0.45491096377372742","0.46647864580154419","0.7505108118057251"
"49","Central African Republic","CAF","-1.1885966062545776","-2.2812609672546387","-1.720416784286499","-1.3674954175949097","-1.6876921653747559","-1.2333954572677612"
