"","Country","iso3","voice2016","absViolence2016","govEffect2016","regQual2016","ruloLaw2016","contCorrup2016"
"15","Aruba","ABW","1.2793039083480835","1.2841992378234863","0.89322936534881592","1.3475527763366699","1.2617449760437012","1.2858484983444214"
"16","Andorra","ADO","1.1765353679656982","1.4134193658828735","1.8605871200561523","0.87144285440444946","1.5779246091842651","1.228778600692749"
"17","Afghanistan","AFG","-1.0398427248001099","-2.6710538864135742","-1.2263633012771606","-1.3276876211166382","-1.4981898069381714","-1.5263516902923584"
"18","Angola","AGO","-1.1429325342178345","-0.3158988356590271","-1.0359029769897461","-1.0013797283172607","-1.0873204469680786","-1.4397034645080566"
"20","Albania","ALB","0.16994921863079071","0.34464466571807861","1.3270381838083267E-2","0.18902206420898438","-0.32886725664138794","-0.40526595711708069"
"22","United Arab Emirates","ARE","-1.0504213571548462","0.56474894285202026","1.4159280061721802","0.97259563207626343","0.84904098510742188","1.1717085838317871"
"23","Argentina","ARG","0.49256306886672974","0.20462550222873688","0.16212919354438782","-0.469625324010849","-0.39360594749450684","-0.28404125571250916"
"24","Armenia","ARM","-0.57933461666107178","-0.66226381063461304","-0.15817530453205109","0.25005558133125305","-0.11912964284420013","-0.57195448875427246"
"26","Antigua and Barbuda","ATG","0.63360273838043213","0.87860721349716187","0.26549062132835388","0.34146115183830261","0.50884181261062622","0.69374853372573853"
"27","Australia","AUS","1.3510124683380127","1.0479580163955688","1.5685094594955444","1.8969656229019165","1.7555209398269653","1.816115140914917"
"28","Austria","AUT","1.3374173641204834","0.90963876247406006","1.5119049549102783","1.4404362440109253","1.8149665594100952","1.548537015914917"
"29","Azerbaijan","AZE","-1.5631005764007568","-0.80387908220291138","-0.16561323404312134","-0.28202280402183533","-0.51986140012741089","-0.83850389719009399"
"30","Burundi","BDI","-1.5496491193771362","-1.9707207679748535","-1.4416862726211548","-0.82525885105133057","-1.4602371454238892","-1.2457022666931152"
"31","Belgium","BEL","1.3769618272781372","0.44136729836463928","1.3262134790420532","1.3406835794448853","1.3909647464752197","1.6387051343917847"
"32","Benin","BEN","0.4133145809173584","-2.0271716639399529E-3","-0.56419026851654053","-0.52789437770843506","-0.60859251022338867","-0.51343780755996704"
"33","Burkina Faso","BFA","1.3356480747461319E-2","-0.86737585067749023","-0.56416857242584229","-0.39738291501998901","-0.44127917289733887","-0.14807862043380737"
"34","Bangladesh","BGD","-0.58529806137084961","-1.2619367837905884","-0.67865896224975586","-0.79668009281158447","-0.66349190473556519","-0.85708969831466675"
"35","Bulgaria","BGR","0.4011085033416748","7.7333264052867889E-2","0.29589706659317017","0.65851771831512451","-6.1471603810787201E-2","-0.16844329237937927"
"36","Bahrain","BHR","-1.3721343278884888","-0.79342567920684814","0.32784277200698853","0.60823905467987061","0.45638054609298706","-1.5862377360463142E-2"
"37","Bahamas, The","BHS","0.85209429264068604","0.97541874647140503","0.71953326463699341","0.25758928060531616","0.26031213998794556","1.1080535650253296"
"38","Bosnia and Herzegovina","BIH","-0.13219600915908813","-0.39783883094787598","-0.39343735575675964","-0.16664782166481018","-0.2167295515537262","-0.45645621418952942"
"39","Belarus","BLR","-1.339493989944458","0.14228147268295288","-0.47792011499404907","-0.9412614107131958","-0.71603929996490479","-0.25707009434700012"
"40","Belize","BLZ","0.57077038288116455","6.0622137039899826E-2","-0.6759178638458252","-0.5123593807220459","-0.86373311281204224","-0.24282833933830261"
"42","Bolivia","BOL","-3.6925524473190308E-2","-0.24886636435985565","-0.56706273555755615","-0.9240947961807251","-1.2005572319030762","-0.72439348697662354"
"43","Brazil","BRA","0.45056623220443726","-0.37720540165901184","-0.17377826571464539","-0.20731551945209503","-0.15722280740737915","-0.38144040107727051"
"44","Barbados","BRB","1.0857307910919189","0.97660988569259644","1.0821715593338013","0.48106494545936584","0.79512315988540649","1.2573643922805786"
"45","Brunei Darussalam","BRN","-0.90106081962585449","1.1541720628738403","1.0841768980026245","0.59339743852615356","0.56169420480728149","0.56841975450515747"
"46","Bhutan","BTN","-2.5974635034799576E-2","1.1232967376708984","0.50050979852676392","-0.66513746976852417","0.49350085854530334","1.1265038251876831"
"47","South Sudan","SSD","-1.7946455478668213","-2.4189655780792236","-2.3533821105957031","-1.8582611083984375","-1.9294716119766235","-1.7148063182830811"
"48","Botswana","BWA","0.39430168271064758","0.99456000328063965","0.52983224391937256","0.52848738431930542","0.53372561931610107","0.92988622188568115"
"49","Central African Republic","CAF","-1.0865451097488403","-1.78926682472229","-1.7717036008834839","-1.4273067712783813","-1.8164989948272705","-1.2800015211105347"
"50","Canada","CAN","1.4479405879974365","1.2560585737228394","1.7814614772796631","1.7388198375701904","1.8411105871200562","1.9899009466171265"
"51","Switzerland","CHE","1.5317878723144531","1.3062903881072998","2.0085930824279785","1.9119008779525757","1.9475415945053101","1.9883574247360229"
"52","Chile","CHL","0.99513989686965942","0.41311052441596985","1.0107530355453491","1.3730642795562744","1.1292688846588135","1.1400537490844727"
"53","China","CHN","-1.5612865686416626","-0.49939504265785217","0.35487475991249084","-0.26447480916976929","-0.33441457152366638","-0.25405940413475037"
"54","Côte d'Ivoire","CIV","-0.29771515727043152","-0.90755933523178101","-0.67313051223754883","-0.36489057540893555","-0.64455127716064453","-0.53006559610366821"
"55","Cameroon","CMR","-1.0329704284667969","-1.0621370077133179","-0.76386409997940063","-0.78989779949188232","-1.036001443862915","-1.1544419527053833"
"56","Congo, Rep.","COG","-1.1576118469238281","-0.51926952600479126","-1.0967954397201538","-1.1656280755996704","-1.0955941677093506","-1.1869783401489258"
