"","Country","Overall_Score","Electoral_Processand_Pluralism","Functioningof_Government","Politicalparticipation","Politicalculture","Civilliberties","efa","efa_ok","cfa_ok"
"163","Equatorial Guinea",1.92,0,0.43,3.33,4.38,1.47,-1.46761563059519,1.52766737669725,1.32543439776901
"164","Laos",1.77,0,2.86,1.67,3.75,0.59,-1.59912857620005,1.17643609333691,0.881487744658969
"165","Chad",1.67,0,0,2.22,3.75,2.35,-1.40235768865386,1.7019515932973,1.61620565173193
"166","Turkmenistan",1.66,0,0.79,2.22,5,0.29,-1.7645207687912,0.734723592758408,0.575440889205704
"167","Syria",1.43,0,0,2.78,4.38,0,-1.85675296229819,0.488399312334092,0.337104806475693
"168","Central African Republic",1.43,1.25,0,1.67,1.88,2.35,-1.44072668643332,1.59947961025906,1.6691147831485
"169","Democratic Republic of the Congo",1.4,0.75,0,2.22,3.13,0.88,-1.70943373145642,0.88184440075662,0.851365659594777
"170","North Korea",1.08,0,2.5,1.67,1.25,0,-1.79224818382638,0.660672057205917,0.348109536019467
"171","Myanmar",1.02,0,0,1.67,3.13,0.29,-1.8945116413934,0.387557305825849,0.301423795450812
"172","Afghanistan",0.32,0,0.07,0,1.25,0.29,-2.03962628605776,0,0
