DepaProvDIST,idh,esperanza,secundaria,tiempoedu,percapitaf
AMAZONAS_RODRIGUEZ DE MENDOZA_MARISCAL BENAVIDES,0.36,73.95,30.83,6.50,493.00
AMAZONAS_RODRIGUEZ DE MENDOZA_MILPUC,0.31,69.68,33.65,5.25,375.10
AMAZONAS_RODRIGUEZ DE MENDOZA_OMIA,0.28,72.05,19.59,5.46,339.40
AMAZONAS_RODRIGUEZ DE MENDOZA_SAN NICOLAS,0.46,74.61,43.79,7.91,700.60
AMAZONAS_RODRIGUEZ DE MENDOZA_SANTA ROSA,0.16,79.47,0.41,4.66,412.70
AMAZONAS_RODRIGUEZ DE MENDOZA_TOTORA,0.31,70.43,30.18,6.08,356.20
AMAZONAS_RODRIGUEZ DE MENDOZA_VISTA ALEGRE,0.21,73.75,5.83,5.08,269.20
AMAZONAS_UTCUBAMBA_BAGUA GRANDE,0.41,74.18,38.56,6.96,571.50
AMAZONAS_UTCUBAMBA_CAJARURO,0.34,75.57,30.37,5.38,454.50
AMAZONAS_UTCUBAMBA_CUMBA,0.28,74.30,15.45,5.22,369.20
AMAZONAS_UTCUBAMBA_EL MILAGRO,0.40,76.28,25.87,6.87,633.20
AMAZONAS_UTCUBAMBA_JAMALCA,0.30,74.98,26.09,5.15,370.90
AMAZONAS_UTCUBAMBA_LONYA GRANDE,0.33,74.53,38.24,5.96,360.60
AMAZONAS_UTCUBAMBA_YAMON,0.32,74.04,21.98,5.86,421.50
ANCASH_AIJA_AIJA,0.33,62.01,52.04,8.75,320.70
ANCASH_AIJA_CORIS,0.24,62.24,18.07,6.32,257.50
ANCASH_AIJA_HUACLLAN,0.29,61.99,40.15,7.13,278.20
ANCASH_AIJA_LA MERCED,0.27,62.91,41.49,6.72,247.30
ANCASH_AIJA_SUCCHA,0.25,64.91,20.22,7.19,241.00
ANCASH_ANTONIO RAYMONDI_ACZO,0.25,70.23,22.60,6.09,234.30
ANCASH_ANTONIO RAYMONDI_CHACCHO,0.24,67.94,36.09,6.20,173.60
ANCASH_ANTONIO RAYMONDI_CHINGAS,0.27,70.46,38.56,6.55,210.00
ANCASH_ANTONIO RAYMONDI_LLAMELLIN,0.29,68.76,36.76,7.40,243.70
ANCASH_ANTONIO RAYMONDI_MIRGAS,0.15,71.59,13.80,4.52,102.50
ANCASH_ANTONIO RAYMONDI_SAN JUAN DE RONTOY,0.17,71.66,25.99,5.15,100.00
ANCASH_ASUNCION_ACOCHACA,0.21,70.54,25.70,4.16,175.10
ANCASH_ASUNCION_CHACAS,0.31,69.45,40.32,6.25,324.20
ANCASH_BOLOGNESI_ABELARDO PARDO LEZAMETA,0.43,68.91,100.00,10.60,375.00
ANCASH_BOLOGNESI_ANTONIO RAYMONDI,0.34,73.88,75.00,5.82,299.50
ANCASH_BOLOGNESI_AQUIA,0.35,69.82,47.69,5.96,422.70
ANCASH_BOLOGNESI_CAJACAY,0.32,68.10,37.61,6.59,346.80
ANCASH_BOLOGNESI_CANIS,0.38,69.26,46.30,8.97,415.10
ANCASH_BOLOGNESI_CHIQUIAN,0.43,69.73,56.07,8.97,517.60
ANCASH_BOLOGNESI_COLQUIOC,0.36,69.30,48.26,8.05,379.60
ANCASH_BOLOGNESI_HUALLANCA,0.36,67.83,36.15,7.19,482.50
ANCASH_BOLOGNESI_HUASTA,0.32,67.84,59.38,7.46,275.60
ANCASH_BOLOGNESI_HUAYLLACAYAN,0.26,73.96,44.48,4.85,197.90
ANCASH_BOLOGNESI_LA PRIMAVERA,0.30,70.66,50.08,6.98,234.10
ANCASH_BOLOGNESI_MANGAS,0.33,70.31,100.00,6.35,247.70
ANCASH_BOLOGNESI_PACLLON,0.41,70.85,75.86,8.97,384.80
ANCASH_BOLOGNESI_SAN MIGUEL DE CORPANQUI,0.35,67.76,71.43,9.51,266.30
ANCASH_BOLOGNESI_TICLLOS,0.30,70.13,23.54,6.99,341.30
ANCASH_CARHUAZ_ACOPAMPA,0.35,77.62,46.56,6.52,353.30
ANCASH_CARHUAZ_AMASHCA,0.25,81.07,31.87,3.94,234.20
ANCASH_CARHUAZ_ANTA,0.28,75.16,25.76,5.50,274.60
ANCASH_CARHUAZ_ATAQUERO,0.25,75.17,40.05,4.04,209.70
ANCASH_CARHUAZ_CARHUAZ,0.34,74.76,39.84,5.85,389.90
ANCASH_CARHUAZ_MARCARA,0.28,77.87,31.73,4.34,286.70
ANCASH_CARHUAZ_PARIAHUANCA,0.34,79.44,36.95,5.85,365.40
ANCASH_CARHUAZ_SAN MIGUEL DE ACO,0.22,78.91,23.28,3.53,209.50
ANCASH_CARHUAZ_SHILLA,0.22,80.51,41.34,3.27,178.90
ANCASH_CARHUAZ_TINCO,0.37,76.95,57.38,6.86,348.40
ANCASH_CARHUAZ_YUNGAR,0.33,77.17,49.23,5.84,303.40
ANCASH_CARLOS FERMIN FITZCARRALD_SAN LUIS,0.24,73.30,23.28,4.74,222.40
ANCASH_CARLOS FERMIN FITZCARRALD_SAN NICOLAS,0.24,75.48,29.09,4.85,205.80
ANCASH_CARLOS FERMIN FITZCARRALD_YAUYA,0.19,73.16,14.48,4.72,155.20
ANCASH_CASMA_BUENA VISTA ALTA,0.36,79.99,35.22,5.36,441.30
ANCASH_CASMA_CASMA,0.52,76.61,59.15,9.04,749.50
ANCASH_CASMA_COMANDANTE NOEL,0.45,75.65,55.82,7.29,618.40
ANCASH_CASMA_YAUTAN,0.39,78.84,48.55,6.17,466.30
ANCASH_CORONGO_ACO,0.25,73.24,12.84,5.41,304.60
ANCASH_CORONGO_BAMBAS,0.21,71.05,14.48,5.45,191.50
ANCASH_CORONGO_CORONGO,0.30,70.51,33.58,6.49,307.80
ANCASH_CORONGO_CUSCA,0.26,72.27,28.38,5.53,244.60
ANCASH_CORONGO_LA PAMPA,0.35,71.26,15.83,7.15,578.50
ANCASH_CORONGO_YANAC,0.32,72.38,38.21,6.21,343.40
