DepaProvDIST,idh,esperanza,secundaria,tiempoedu,percapitaf
APURIMAC_GRAU_CURASCO,0.15,67.57,16.39,4.04,104.90
APURIMAC_GRAU_CURPAHUASI,0.16,65.18,20.80,4.34,116.40
APURIMAC_GRAU_GAMARRA,0.20,69.44,26.30,4.93,153.10
APURIMAC_GRAU_HUAYLLATI,0.10,63.47,0.50,4.61,161.30
APURIMAC_GRAU_MAMARA,0.27,60.57,42.06,5.45,274.90
APURIMAC_GRAU_MICAELA BASTIDAS,0.21,62.84,66.67,6.95,104.00
APURIMAC_GRAU_PATAYPAMPA,0.17,70.18,22.78,5.61,101.20
APURIMAC_GRAU_PROGRESO,0.20,74.24,12.27,4.54,183.70
APURIMAC_GRAU_SAN ANTONIO,0.23,57.39,38.08,7.43,184.60
APURIMAC_GRAU_SANTA ROSA,0.22,65.05,55.62,5.47,136.50
APURIMAC_GRAU_TURPAY,0.27,64.31,20.92,7.29,293.00
APURIMAC_GRAU_VILCABAMBA,0.32,62.72,80.00,8.42,245.20
APURIMAC_GRAU_VIRUNDO,0.24,77.45,27.21,5.40,186.40
AREQUIPA_AREQUIPA_ALTO SELVA ALEGRE,0.59,75.51,87.32,11.59,795.70
AREQUIPA_AREQUIPA_AREQUIPA,0.73,76.29,89.65,13.71,1339.00
AREQUIPA_AREQUIPA_CAYMA,0.60,75.75,85.55,11.41,854.40
AREQUIPA_AREQUIPA_CERRO COLORADO,0.57,75.06,81.33,11.05,771.20
AREQUIPA_AREQUIPA_CHARACATO,0.55,75.80,79.42,10.30,739.50
AREQUIPA_AREQUIPA_CHIGUATA,0.43,77.24,79.77,7.40,437.40
AREQUIPA_AREQUIPA_JACOBO HUNTER,0.58,76.10,87.24,10.86,783.20
AREQUIPA_AREQUIPA_JOSE LUIS BUSTAMANTE Y RIVERO,0.70,76.89,89.74,13.06,1178.10
AREQUIPA_AREQUIPA_LA JOYA,0.49,76.04,65.27,8.56,650.50
AREQUIPA_AREQUIPA_MARIANO MELGAR,0.60,75.97,86.76,11.65,834.90
AREQUIPA_AREQUIPA_MIRAFLORES,0.61,76.22,85.91,11.90,894.10
AREQUIPA_AREQUIPA_MOLLEBAYA,0.46,75.52,85.73,8.88,468.50
AREQUIPA_AREQUIPA_PAUCARPATA,0.57,76.00,84.55,10.96,767.40
AREQUIPA_AREQUIPA_POCSI,0.36,74.48,37.91,7.29,386.30
AREQUIPA_AREQUIPA_POLOBAYA,0.49,74.52,80.04,9.20,577.00
AREQUIPA_AREQUIPA_QUEQUENA,0.50,75.10,77.39,11.42,547.60
AREQUIPA_AREQUIPA_SABANDIA,0.57,75.08,81.52,10.37,808.00
AREQUIPA_AREQUIPA_SACHACA,0.60,75.09,80.48,11.08,909.00
AREQUIPA_AREQUIPA_SAN JUAN DE SIGUAS,0.49,74.97,58.04,8.27,701.00
AREQUIPA_AREQUIPA_SAN JUAN DE TARUCANI,0.34,79.59,44.87,6.13,312.30
AREQUIPA_AREQUIPA_SANTA ISABEL DE SIGUAS,0.51,76.91,75.01,9.28,651.00
AREQUIPA_AREQUIPA_SANTA RITA DE SIGUAS,0.52,73.61,65.11,8.43,829.40
AREQUIPA_AREQUIPA_SOCABAYA,0.59,75.36,87.76,11.36,822.00
AREQUIPA_AREQUIPA_TIABAYA,0.55,76.48,80.72,9.81,752.70
AREQUIPA_AREQUIPA_UCHUMAYO,0.59,78.26,78.99,10.73,857.00
AREQUIPA_AREQUIPA_VITOR,0.53,77.13,78.08,8.39,747.00
AREQUIPA_AREQUIPA_YANAHUARA,0.74,76.12,90.25,14.15,1336.10
AREQUIPA_AREQUIPA_YARABAMBA,0.54,77.79,94.12,9.95,632.20
AREQUIPA_AREQUIPA_YURA,0.51,76.37,83.48,8.87,610.20
AREQUIPA_CAMANA_CAMANA,0.58,78.75,72.13,11.22,800.30
AREQUIPA_CAMANA_JOSE MARIA QUIMPER,0.58,78.18,86.10,9.84,816.40
AREQUIPA_CAMANA_MARIANO NICOLAS VALCARCEL,0.40,80.84,74.25,9.71,290.00
AREQUIPA_CAMANA_MARISCAL CACERES,0.52,80.57,66.58,8.15,715.90
AREQUIPA_CAMANA_NICOLAS DE PIEROLA,0.57,78.78,78.25,9.60,806.60
AREQUIPA_CAMANA_OCONA,0.57,80.60,72.59,9.07,833.20
AREQUIPA_CAMANA_QUILCA,0.52,79.88,72.78,8.47,669.70
AREQUIPA_CAMANA_SAMUEL PASTOR,0.55,80.50,75.27,9.40,724.10
AREQUIPA_CARAVELI_ACARI,0.55,79.03,55.96,9.61,837.70
AREQUIPA_CARAVELI_ATICO,0.55,78.76,58.52,10.30,824.40
AREQUIPA_CARAVELI_ATIQUIPA,0.56,82.27,44.55,9.47,966.40
AREQUIPA_CARAVELI_BELLA UNION,0.57,81.84,53.06,8.86,982.60
AREQUIPA_CARAVELI_CAHUACHO,0.32,78.73,31.00,6.52,305.10
AREQUIPA_CARAVELI_CARAVELI,0.53,79.08,61.35,9.74,740.30
AREQUIPA_CARAVELI_CHALA,0.52,79.94,47.52,10.29,736.60
AREQUIPA_CARAVELI_CHAPARRA,0.52,80.74,53.15,9.65,721.20
AREQUIPA_CARAVELI_HUANUHUANU,0.46,83.52,62.08,8.57,478.00
AREQUIPA_CARAVELI_JAQUI,0.46,77.52,40.57,8.51,672.70
AREQUIPA_CARAVELI_LOMAS,0.51,78.86,53.77,9.70,713.20
AREQUIPA_CARAVELI_QUICACHA,0.37,80.18,42.53,7.64,360.90
AREQUIPA_CARAVELI_YAUCA,0.45,78.96,39.05,8.87,595.30
AREQUIPA_CASTILLA_ANDAGUA,0.37,73.27,43.89,7.06,407.50
AREQUIPA_CASTILLA_APLAO,0.53,73.10,78.34,9.32,738.60
AREQUIPA_CASTILLA_AYO,0.36,70.28,50.39,8.27,346.60
AREQUIPA_CASTILLA_CHACHAS,0.24,76.89,28.81,5.04,193.00
AREQUIPA_CASTILLA_CHILCAYMARCA,0.39,77.17,37.91,6.76,486.90
AREQUIPA_CASTILLA_CHOCO,0.24,76.55,36.61,4.69,179.90
AREQUIPA_CASTILLA_HUANCARQUI,0.49,72.48,68.98,8.89,672.80
AREQUIPA_CASTILLA_MACHAGUAY,0.33,75.90,25.36,7.07,384.70
AREQUIPA_CASTILLA_ORCOPAMPA,0.52,75.54,46.48,9.44,874.30
AREQUIPA_CASTILLA_PAMPACOLCA,0.36,71.13,51.65,7.30,382.80
AREQUIPA_CASTILLA_TIPAN,0.39,76.24,33.53,7.96,479.50
AREQUIPA_CASTILLA_UNON,0.41,73.38,100.00,8.97,327.10
AREQUIPA_CASTILLA_URACA,0.52,75.75,52.36,9.17,826.70
AREQUIPA_CASTILLA_VIRACO,0.38,72.96,47.44,7.65,410.80
AREQUIPA_CAYLLOMA_ACHOMA,0.29,75.44,45.01,6.82,205.80
AREQUIPA_CAYLLOMA_CABANACONDE,0.39,73.55,60.38,7.42,397.30
AREQUIPA_CAYLLOMA_CALLALLI,0.38,78.97,64.85,6.56,351.70
AREQUIPA_CAYLLOMA_CAYLLOMA,0.36,77.85,24.29,7.30,463.00
AREQUIPA_CAYLLOMA_CHIVAY,0.48,74.88,72.12,9.06,561.30
AREQUIPA_CAYLLOMA_COPORAQUE,0.37,75.33,44.02,7.35,380.20
AREQUIPA_CAYLLOMA_HUAMBO,0.36,73.83,46.51,6.89,388.90
AREQUIPA_CAYLLOMA_HUANCA,0.37,75.33,45.14,6.53,407.10
AREQUIPA_CAYLLOMA_ICHUPAMPA,0.33,75.80,29.36,5.93,400.80
AREQUIPA_CAYLLOMA_LARI,0.34,78.77,46.01,6.35,307.90
AREQUIPA_CAYLLOMA_LLUTA,0.36,72.17,47.85,6.85,391.80
AREQUIPA_CAYLLOMA_MACA,0.41,78.32,81.91,8.16,360.70
AREQUIPA_CAYLLOMA_MADRIGAL,0.32,77.57,80.11,5.66,224.80
AREQUIPA_CAYLLOMA_MAJES,0.52,74.65,71.76,9.42,695.10
AREQUIPA_CAYLLOMA_SAN ANTONIO DE CHUCA,0.32,79.81,38.32,6.72,280.70
AREQUIPA_CAYLLOMA_SIBAYO,0.49,79.17,77.03,6.59,683.80
AREQUIPA_CAYLLOMA_TAPAY,0.24,76.67,100.00,4.58,129.90
AREQUIPA_CAYLLOMA_TISCO,0.27,80.06,45.15,5.11,196.60
AREQUIPA_CAYLLOMA_TUTI,0.37,77.77,72.91,6.34,334.40
AREQUIPA_CAYLLOMA_YANQUE,0.44,78.73,76.46,7.13,469.70
AREQUIPA_CONDESUYOS_ANDARAY,0.41,73.79,64.45,7.06,452.30
AREQUIPA_CONDESUYOS_CAYARANI,0.39,79.73,32.24,7.69,482.00
AREQUIPA_CONDESUYOS_CHICHAS,0.39,77.58,66.73,7.99,335.40
AREQUIPA_CONDESUYOS_CHUQUIBAMBA,0.48,74.28,61.31,9.26,621.30
AREQUIPA_CONDESUYOS_IRAY,0.41,73.68,45.72,8.79,469.20
AREQUIPA_CONDESUYOS_RIO GRANDE,0.56,74.07,81.21,9.20,859.50
AREQUIPA_CONDESUYOS_SALAMANCA,0.29,78.36,37.87,5.94,247.70
AREQUIPA_CONDESUYOS_YANAQUIHUA,0.47,78.31,60.91,8.27,570.10
AREQUIPA_ISLAY_COCACHACRA,0.56,76.18,74.70,9.06,855.00
AREQUIPA_ISLAY_DEAN VALDIVIA,0.53,75.34,82.10,8.62,717.20
AREQUIPA_ISLAY_ISLAY,0.49,72.36,73.23,11.62,562.80
AREQUIPA_ISLAY_MEJIA,0.57,75.80,79.39,9.53,850.60
AREQUIPA_ISLAY_MOLLENDO,0.59,73.29,86.48,11.00,874.60
AREQUIPA_ISLAY_PUNTA DE BOMBON,0.50,75.48,69.02,8.45,690.70
AREQUIPA_LA UNION_ALCA,0.24,80.69,31.83,5.23,163.60
AREQUIPA_LA UNION_CHARCANA,0.28,76.27,22.75,6.85,258.40
AREQUIPA_LA UNION_COTAHUASI,0.42,76.70,57.42,9.59,413.50
AREQUIPA_LA UNION_HUAYNACOTAS,0.24,79.28,20.43,5.62,195.20
AREQUIPA_LA UNION_PAMPAMARCA,0.17,80.60,15.76,4.53,116.10
AREQUIPA_LA UNION_PUYCA,0.15,81.53,9.20,3.64,111.00
AREQUIPA_LA UNION_QUECHUALLA,0.36,74.63,66.73,6.07,357.90
AREQUIPA_LA UNION_SAYLA,0.15,78.08,0.34,7.80,302.90
AREQUIPA_LA UNION_TAURIA,0.20,80.53,0.66,7.28,426.20
AREQUIPA_LA UNION_TOMEPAMPA,0.17,79.95,0.50,7.50,309.80
AREQUIPA_LA UNION_TORO,0.31,79.11,44.67,7.24,229.00
AYACUCHO_CANGALLO_CANGALLO,0.31,73.77,39.19,6.08,290.70
AYACUCHO_CANGALLO_CHUSCHI,0.19,78.59,15.41,4.88,140.60
AYACUCHO_CANGALLO_LOS MOROCHUCOS,0.24,80.69,23.83,4.71,205.70
AYACUCHO_CANGALLO_MARIA PARADO DE BELLIDO,0.20,79.45,23.78,3.96,154.00
AYACUCHO_CANGALLO_PARAS,0.20,76.66,19.49,4.36,157.10
AYACUCHO_CANGALLO_TOTOS,0.20,75.06,25.48,4.47,138.00
AYACUCHO_HUAMANGA_ACOCRO,0.21,67.11,16.39,8.19,152.50
AYACUCHO_HUAMANGA_ACOS VINCHOS,0.18,69.28,26.50,3.89,126.90
AYACUCHO_HUAMANGA_AYACUCHO,0.48,67.74,66.39,9.84,654.30
AYACUCHO_HUAMANGA_CARMEN ALTO,0.48,71.57,65.00,9.84,616.60
AYACUCHO_HUAMANGA_CHIARA,0.24,67.31,25.30,5.25,226.20
AYACUCHO_HUAMANGA_JESUS NAZARENO,0.50,71.97,65.39,9.91,671.90
AYACUCHO_HUAMANGA_OCROS,0.20,68.08,28.28,4.88,149.70
AYACUCHO_HUAMANGA_PACAYCASA,0.28,63.79,42.65,5.53,275.10
AYACUCHO_HUAMANGA_QUINUA,0.20,62.39,35.29,5.15,151.90
AYACUCHO_HUAMANGA_SAN JOSE DE TICLLAS,0.24,67.57,39.48,4.62,207.70
AYACUCHO_HUAMANGA_SAN JUAN BAUTISTA,0.46,72.17,63.84,9.84,533.10
AYACUCHO_HUAMANGA_SANTIAGO DE PISCHA,0.23,67.20,65.00,5.14,150.50
AYACUCHO_HUAMANGA_SOCOS,0.18,70.81,24.19,3.76,129.60
AYACUCHO_HUAMANGA_TAMBILLO,0.20,68.34,17.11,4.37,183.70
AYACUCHO_HUAMANGA_VINCHOS,0.15,68.77,15.15,3.59,118.60
AYACUCHO_HUANCA SANCOS_CARAPO,0.26,67.44,43.75,5.85,204.00
AYACUCHO_HUANCA SANCOS_SACSAMARCA,0.24,72.68,20.66,5.06,225.90
AYACUCHO_HUANCA SANCOS_SANCOS,0.36,69.76,41.08,6.48,447.60
AYACUCHO_HUANCA SANCOS_SANTIAGO DE LUCANAMARCA,0.22,75.80,17.59,6.63,153.30
AYACUCHO_HUANTA_AYAHUANCO,0.18,66.92,24.90,3.55,149.50
AYACUCHO_HUANTA_HUAMANGUILLA,0.29,75.75,47.87,5.55,229.70
AYACUCHO_HUANTA_HUANTA,0.32,72.08,50.00,6.01,298.00
AYACUCHO_HUANTA_IGUAIN,0.21,75.33,15.64,4.77,194.70
AYACUCHO_HUANTA_LLOCHEGUA,0.34,71.37,25.15,5.95,501.00
AYACUCHO_HUANTA_LURICOCHA,0.23,73.59,31.36,4.95,179.30
AYACUCHO_HUANTA_SANTILLANA,0.16,75.76,17.83,3.37,112.30
AYACUCHO_HUANTA_SIVIA,0.29,75.20,22.51,5.17,344.20
AYACUCHO_LA MAR_ANCO,0.21,78.96,17.86,5.12,159.70
AYACUCHO_LA MAR_AYNA,0.32,71.45,34.87,5.69,363.00
AYACUCHO_LA MAR_CHILCAS,0.22,77.24,19.60,4.63,196.70
AYACUCHO_LA MAR_CHUNGUI,0.16,77.41,13.38,5.15,100.00
AYACUCHO_LA MAR_LUIS CARRANZA,0.17,78.49,6.10,4.71,148.10
AYACUCHO_LA MAR_SAN MIGUEL,0.22,74.26,20.57,4.19,196.10
AYACUCHO_LA MAR_SANTA ROSA,0.31,74.14,26.50,5.49,372.50
AYACUCHO_LA MAR_TAMBO,0.16,76.55,19.78,3.54,103.90
AYACUCHO_LUCANAS_AUCARA,0.33,63.01,80.49,6.05,327.70
AYACUCHO_LUCANAS_CABANA,0.38,69.06,83.87,7.35,364.60
AYACUCHO_LUCANAS_CARMEN SALCEDO,0.31,71.75,66.10,6.52,242.30
AYACUCHO_LUCANAS_CHAVINA,0.24,69.25,37.20,5.57,187.80
AYACUCHO_LUCANAS_CHIPAO,0.24,62.23,49.43,6.13,178.10
AYACUCHO_LUCANAS_HUAC-HUAS,0.34,65.49,60.00,8.15,311.40
AYACUCHO_LUCANAS_LARAMATE,0.30,67.53,54.17,6.91,257.60
AYACUCHO_LUCANAS_LEONCIO PRADO,0.31,62.25,41.18,7.25,332.00
AYACUCHO_LUCANAS_LLAUTA,0.37,65.20,82.35,6.51,386.40
AYACUCHO_LUCANAS_LUCANAS,0.29,66.20,44.26,5.25,296.40
AYACUCHO_LUCANAS_OCANA,0.31,64.97,51.11,9.45,245.50
AYACUCHO_LUCANAS_OTOCA,0.38,66.68,37.06,6.71,581.70
AYACUCHO_LUCANAS_PUQUIO,0.39,67.29,62.35,7.52,444.60
AYACUCHO_LUCANAS_SAISA,0.45,61.58,92.31,8.54,594.50
AYACUCHO_LUCANAS_SAN CRISTOBAL,0.18,65.76,51.02,4.54,100.00
AYACUCHO_LUCANAS_SAN JUAN,0.35,63.76,87.10,7.49,323.10
AYACUCHO_LUCANAS_SAN PEDRO,0.22,70.13,32.28,5.33,151.20
AYACUCHO_LUCANAS_SAN PEDRO DE PALCO,0.25,64.65,47.83,5.09,204.90
AYACUCHO_LUCANAS_SANCOS,0.36,67.25,49.06,9.25,361.60
AYACUCHO_LUCANAS_SANTA ANA DE HUAYCAHUACHO,0.32,67.60,80.00,6.95,247.60
AYACUCHO_LUCANAS_SANTA LUCIA,0.37,62.95,54.55,7.08,468.80
AYACUCHO_PARINACOCHAS_CHUMPI,0.26,61.49,36.43,6.25,239.60
AYACUCHO_PARINACOCHAS_CORACORA,0.34,56.75,59.22,7.54,421.60
AYACUCHO_PARINACOCHAS_CORONEL CASTANEDA,0.37,60.93,35.31,9.03,517.10
AYACUCHO_PARINACOCHAS_PACAPAUSA,0.26,59.98,51.52,6.42,206.10
AYACUCHO_PARINACOCHAS_PULLO,0.35,58.99,37.73,6.64,542.90
AYACUCHO_PARINACOCHAS_PUYUSCA,0.28,59.10,56.25,5.61,286.20
AYACUCHO_PARINACOCHAS_SAN FRANCISCO DE RAVACAYCO,0.11,57.67,0.20,6.42,288.40
AYACUCHO_PARINACOCHAS_UPAHUACHO,0.17,59.68,18.56,4.41,149.80
AYACUCHO_PAUCAR DEL SARA SARA_COLTA,0.26,64.61,28.67,8.43,221.70
AYACUCHO_PAUCAR DEL SARA SARA_CORCULLA,0.31,63.32,33.41,6.82,358.90
AYACUCHO_PAUCAR DEL SARA SARA_LAMPA,0.36,72.61,68.57,7.69,315.40
AYACUCHO_PAUCAR DEL SARA SARA_MARCABAMBA,0.40,70.91,50.00,7.45,506.40
AYACUCHO_PAUCAR DEL SARA SARA_OYOLO,0.16,63.66,5.62,7.23,142.30
AYACUCHO_PAUCAR DEL SARA SARA_PARARCA,0.32,67.72,62.50,7.36,261.20
AYACUCHO_PAUCAR DEL SARA SARA_PAUSA,0.45,73.23,76.60,7.58,548.80
AYACUCHO_PAUCAR DEL SARA SARA_SAN JAVIER DE ALPABAMBA,0.32,70.24,75.00,6.33,256.80
AYACUCHO_PAUCAR DEL SARA SARA_SAN JOSE DE USHUA,0.18,65.95,0.52,7.63,459.90
AYACUCHO_PAUCAR DEL SARA SARA_SARA SARA,0.33,66.99,70.00,6.61,296.20
AYACUCHO_SUCRE_BELEN,0.31,65.51,70.00,7.44,251.00
AYACUCHO_SUCRE_CHALCOS,0.36,74.06,66.67,7.07,314.60
AYACUCHO_SUCRE_CHILCAYOC,0.29,66.06,71.43,6.57,209.50
AYACUCHO_SUCRE_HUACANA,0.30,71.29,14.59,6.40,448.00
AYACUCHO_SUCRE_MORCOLLA,0.26,67.90,60.00,5.56,191.40
AYACUCHO_SUCRE_PAICO,0.27,61.65,66.67,5.95,222.50
AYACUCHO_SUCRE_QUEROBAMBA,0.35,71.00,50.00,6.64,377.60
AYACUCHO_SUCRE_SAN PEDRO DE LARCAY,0.30,73.12,41.67,6.37,271.80
AYACUCHO_SUCRE_SAN SALVADOR DE QUIJE,0.21,64.35,40.91,5.39,144.70
AYACUCHO_SUCRE_SANTIAGO DE PAUCARAY,0.24,66.13,28.75,5.50,209.20
AYACUCHO_SUCRE_SORAS,0.25,66.27,20.34,7.11,231.70
AYACUCHO_VICTOR FAJARDO_ALCAMENCA,0.22,77.01,17.65,5.28,186.40
AYACUCHO_VICTOR FAJARDO_APONGO,0.22,75.14,12.88,5.86,208.30
AYACUCHO_VICTOR FAJARDO_ASQUIPATA,0.33,73.73,60.00,5.17,336.30
AYACUCHO_VICTOR FAJARDO_CANARIA,0.34,71.95,30.68,6.41,421.20
AYACUCHO_VICTOR FAJARDO_CAYARA,0.22,74.93,16.98,5.39,192.50
AYACUCHO_VICTOR FAJARDO_COLCA,0.24,78.24,16.93,5.79,202.40
AYACUCHO_VICTOR FAJARDO_HUAMANQUIQUIA,0.21,75.75,19.22,6.47,142.40
AYACUCHO_VICTOR FAJARDO_HUANCAPI,0.34,76.25,27.89,7.31,392.00
AYACUCHO_VICTOR FAJARDO_HUANCARAYLLA,0.30,79.84,35.59,5.32,275.90
AYACUCHO_VICTOR FAJARDO_HUAYA,0.25,75.78,31.98,4.98,209.50
AYACUCHO_VICTOR FAJARDO_SARHUA,0.25,79.08,25.26,3.89,250.00
AYACUCHO_VICTOR FAJARDO_VILCANCHOS,0.15,72.66,3.26,4.90,159.70
AYACUCHO_VILCAS HUAMAN_ACCOMARCA,0.26,71.53,43.75,6.04,189.30
AYACUCHO_VILCAS HUAMAN_CARHUANCA,0.25,70.09,29.53,5.19,234.80
AYACUCHO_VILCAS HUAMAN_CONCEPCION,0.17,68.78,12.57,4.44,153.30
AYACUCHO_VILCAS HUAMAN_HUAMBALPA,0.21,70.95,18.83,3.87,214.50
AYACUCHO_VILCAS HUAMAN_INDEPENDENCIA,0.23,65.13,23.19,5.24,228.30
AYACUCHO_VILCAS HUAMAN_SAURAMA,0.17,70.30,7.83,5.47,150.90
AYACUCHO_VILCAS HUAMAN_VILCAS HUAMAN,0.22,66.95,21.87,4.59,216.60
AYACUCHO_VILCAS HUAMAN_VISCHONGO,0.22,70.95,26.39,4.93,185.10
CAJAMARCA_CAJABAMBA_CACHACHI,0.19,77.08,12.98,3.85,169.40
CAJAMARCA_CAJABAMBA_CAJABAMBA,0.37,76.03,35.75,6.33,456.90
CAJAMARCA_CAJABAMBA_CONDEBAMBA,0.21,79.18,20.29,3.75,188.10
CAJAMARCA_CAJABAMBA_SITACOCHA,0.21,78.86,12.33,3.62,244.00
CAJAMARCA_CAJAMARCA_ASUNCION,0.22,76.27,21.21,3.87,206.90
CAJAMARCA_CAJAMARCA_CAJAMARCA,0.53,72.28,60.95,9.57,857.70
CAJAMARCA_CAJAMARCA_CHETILLA,0.12,76.32,9.78,2.62,107.40
CAJAMARCA_CAJAMARCA_COSPAN,0.18,72.24,15.78,4.19,155.20
CAJAMARCA_CAJAMARCA_ENCANADA,0.23,76.58,21.36,3.99,227.90
CAJAMARCA_CAJAMARCA_JESUS,0.24,76.09,24.18,4.46,220.00
CAJAMARCA_CAJAMARCA_LLACANORA,0.27,77.60,29.34,4.68,253.40
CAJAMARCA_CAJAMARCA_LOS BANOS DEL INCA,0.39,73.70,40.03,6.31,528.70
CAJAMARCA_CAJAMARCA_MAGDALENA,0.27,74.03,15.62,4.96,355.90
CAJAMARCA_CAJAMARCA_MATARA,0.30,75.20,33.10,4.78,349.20
CAJAMARCA_CAJAMARCA_NAMORA,0.19,73.77,11.33,4.01,190.80
CAJAMARCA_CAJAMARCA_SAN JUAN,0.24,71.89,21.61,4.70,236.50
CAJAMARCA_CELENDIN_CELENDIN,0.38,67.80,45.20,7.42,466.20
CAJAMARCA_CELENDIN_CHUMUCH,0.14,74.29,8.48,4.30,104.70
CAJAMARCA_CELENDIN_CORTEGANA,0.16,71.23,20.60,4.06,104.70
CAJAMARCA_CELENDIN_HUASMIN,0.17,72.61,16.97,3.54,138.70
CAJAMARCA_CELENDIN_JORGE CHAVEZ,0.27,70.94,33.64,6.71,227.60
CAJAMARCA_CELENDIN_JOSE GALVEZ,0.30,71.69,28.91,6.21,316.10
CAJAMARCA_CELENDIN_LA LIBERTAD DE PALLAN,0.15,72.58,17.46,3.78,102.90
CAJAMARCA_CELENDIN_MIGUEL IGLESIAS,0.15,72.56,13.87,4.04,104.70
CAJAMARCA_CELENDIN_OXAMARCA,0.15,74.15,10.13,3.98,122.40
CAJAMARCA_CELENDIN_SOROCHUCO,0.18,73.99,13.11,3.51,180.80
CAJAMARCA_CELENDIN_SUCRE,0.23,73.69,12.84,5.13,258.70
CAJAMARCA_CELENDIN_UTCO,0.22,73.01,16.76,3.96,239.70
CAJAMARCA_CHOTA_ANGUIA,0.19,72.81,25.49,4.27,142.70
CAJAMARCA_CHOTA_CHADIN,0.21,70.25,22.99,4.62,175.10
CAJAMARCA_CHOTA_CHALAMARCA,0.23,71.73,40.43,4.27,184.30
CAJAMARCA_CHOTA_CHIGUIRIP,0.23,74.17,34.56,3.95,199.20
CAJAMARCA_CHOTA_CHIMBAN,0.24,75.92,30.65,4.61,189.90
CAJAMARCA_CHOTA_CHOROPAMPA,0.22,71.19,32.40,5.07,154.70
CAJAMARCA_CHOTA_CHOTA,0.39,72.23,45.10,5.99,541.40
CAJAMARCA_CHOTA_COCHABAMBA,0.24,71.71,25.92,4.01,246.30
CAJAMARCA_CHOTA_CONCHAN,0.22,72.04,21.83,3.88,210.90
CAJAMARCA_CHOTA_HUAMBOS,0.20,70.15,20.59,3.95,178.50
CAJAMARCA_CHOTA_LAJAS,0.29,71.70,36.16,4.48,319.90
CAJAMARCA_CHOTA_LLAMA,0.33,70.97,39.43,5.60,384.20
CAJAMARCA_CHOTA_MIRACOSTA,0.16,70.58,12.16,4.32,125.40
CAJAMARCA_CHOTA_PACCHA,0.22,72.89,13.04,4.56,247.40
CAJAMARCA_CHOTA_PION,0.23,75.20,26.46,5.44,179.20
CAJAMARCA_CHOTA_QUEROCOTO,0.37,69.19,44.87,6.31,467.40
CAJAMARCA_CHOTA_SAN JUAN DE LICUPIS,0.25,69.11,52.02,5.58,177.90
CAJAMARCA_CHOTA_TACABAMBA,0.24,73.14,27.86,4.23,236.50
CAJAMARCA_CHOTA_TOCMOCHE,0.32,72.37,33.53,5.32,385.30
CAJAMARCA_CONTUMAZA_CHILETE,0.50,72.63,60.78,7.80,778.20
CAJAMARCA_CONTUMAZA_CONTUMAZA,0.33,69.65,31.73,6.15,407.10
CAJAMARCA_CONTUMAZA_CUPISNIQUE,0.24,69.00,21.04,5.70,239.90
CAJAMARCA_CONTUMAZA_GUZMANGO,0.18,73.76,8.04,4.18,179.00
CAJAMARCA_CONTUMAZA_SAN BENITO,0.27,70.58,13.03,5.74,362.10
CAJAMARCA_CONTUMAZA_SANTA CRUZ DE TOLED,0.16,72.50,7.35,4.38,135.80
CAJAMARCA_CONTUMAZA_TANTARICA,0.32,69.34,39.74,6.20,332.40
CAJAMARCA_CONTUMAZA_YONAN,0.51,72.58,53.87,7.89,890.50
CAJAMARCA_CUTERVO_CALLAYUC,0.23,75.86,20.26,4.25,217.00
CAJAMARCA_CUTERVO_CHOROS,0.28,75.00,20.78,5.45,320.30
CAJAMARCA_CUTERVO_CUJILLO,0.22,73.86,25.12,4.85,177.30
CAJAMARCA_CUTERVO_CUTERVO,0.32,75.88,38.01,5.28,360.20
CAJAMARCA_CUTERVO_LA RAMADA,0.27,76.29,26.46,4.79,265.40
CAJAMARCA_CUTERVO_PIMPINGOS,0.26,76.85,34.61,5.31,203.40
CAJAMARCA_CUTERVO_QUEROCOTILLO,0.19,74.53,13.69,4.73,151.90
CAJAMARCA_CUTERVO_SAN ANDRES DE CUTERVO,0.29,75.48,28.17,5.64,284.70
CAJAMARCA_CUTERVO_SAN JUAN DE CUTERVO,0.28,78.77,29.12,4.79,289.60
CAJAMARCA_CUTERVO_SAN LUIS DE LUCMA,0.26,77.88,18.65,4.59,295.90
CAJAMARCA_CUTERVO_SANTA CRUZ,0.23,78.37,22.11,4.84,187.10
CAJAMARCA_CUTERVO_SANTO DOMINGO DE LA CAPILLA,0.23,81.52,15.53,3.94,253.00
CAJAMARCA_CUTERVO_SANTO TOMAS,0.25,75.57,30.86,4.89,217.30
CAJAMARCA_CUTERVO_SOCOTA,0.27,75.42,32.45,4.80,260.40
CAJAMARCA_CUTERVO_TORIBIO CASANOVA,0.27,77.45,50.05,5.30,197.00
CAJAMARCA_HUALGAYOC_BAMBAMARCA,0.26,76.11,22.73,4.23,290.00
CAJAMARCA_HUALGAYOC_CHUGUR,0.30,74.21,46.80,5.67,262.40
CAJAMARCA_HUALGAYOC_HUALGAYOC,0.27,78.80,25.68,4.94,264.90
CAJAMARCA_JAEN_BELLAVISTA,0.42,74.41,45.26,6.14,636.30
CAJAMARCA_JAEN_CHONTALI,0.27,75.01,34.14,5.33,239.30
CAJAMARCA_JAEN_COLASAY,0.28,75.44,36.13,4.90,258.20
CAJAMARCA_JAEN_HUABAL,0.25,74.18,20.02,4.47,283.80
CAJAMARCA_JAEN_JAEN,0.52,73.49,61.60,8.65,822.50
CAJAMARCA_JAEN_LAS PIRIAS,0.27,78.94,23.02,4.35,303.60
