"","SP_ID","IDPROV","IDDPTO","NOMBDEP","NOMBPROV","SUP_INSULA","SUP_LACUST","SUP_INS_D","IDH","esperanza","secundaria","educa","percapitaf","IDE","identidad","salud","educacion","saneamient","electrific","poblacion","costa","capital","tamano","fecundidad","desnutrici","densidadpo","mortalidad","analfa","analfa1","analfa2","analfa3","analfa4","pob","pob_ur","pob_rural","pob_h","pob_m","Voto_PPK","Voto_FP"
"53","97","1010","10","HUANUCO","LAURICOCHA",0,0,0,0.26072855,71.19,42.28716105,6.620912499,184.7825649,0.5554,96.3078,11.2596,82.0013,36.3976,44.2322,38257,"NO","NO",1,2.74,44.119534,18.99,24.7,8.56,5.53,9.48,4.07,13.37,35323,7938,27385,18294,17029,6295,2890
"54","63","0610","06","CAJAMARCA","SAN MARCOS",0,0,0,0.209225243,69.2,26.24867064,4.603338265,169.6297092,0.5805,95.5956,4.4653,69.885,66.3363,50.9721,54622,"NO","NO",2,3.06,45.997012,37.46,31.8,21.17,9.97,24.9,11.77,30.44,51031,11641,39390,25581,25450,9825,11728
"55","15","0208","02","ANCASH","CASMA",0,0,0,0.367964414,73.83,55.06110089,7.845762213,346.6700756,0.7466,96.9521,10.0441,89.7711,81.9572,87.877,46032,"SI","NO",1,2.74,14.584619,18.72,16.4,9.55,6.35,17.17,5.12,14.16,42368,29458,12910,21724,20644,9158,17984
"56","16","0209","02","ANCASH","CORONGO",0,0,0,0.264197207,72.4,32.47155729,6.02272506,220.1700347,0.6702,96.2646,11.3027,78.1769,61.6929,80.1392,8340,"NO","NO",1,3.07,38.919951,8.43,20.7,13.25,10.79,15.92,6.52,20.25,8329,4113,4216,4264,4065,1501,1951
"57","50","0508","05","AYACUCHO","PAUCAR DEL SARA SARA",0,0,0,0.289983603,72.92,56.00195107,6.870230927,203.3063157,0.7159,98.665,14.4225,93.9172,54.0318,87.283,11028,"NO","NO",1,3.1,41.873934,5.25,19,14.48,10.87,21.6,6.62,22.65,11012,7396,3616,5583,5429,2070,2130
"58","5","0105","01","AMAZONAS","LUYA",0,0,0,0.250816431,71.25,34.59977464,5.169240983,211.1026484,0.6047,96.1927,12.418,74.726,43.3484,67.3961,52185,"NO","NO",2,3.07,30.627197,14.93,24.5,14.27,11.71,16.14,8.27,20.76,48328,19526,28802,24968,23360,8652,11736
"59","4","0104","01","AMAZONAS","CONDORCANQUI",0,0,0,0.168765635,70.09,8.02116001,5.253847965,147.8792109,0.4598,86.232,8.557,52.2149,37.7145,39.4891,51802,"NO","NO",2,4.81,56.755867,2.42,28.5,18.97,7.09,21.35,8.57,29.61,43311,6458,36853,21806,21505,6069,3930
"60","7","0107","01","AMAZONAS","UTCUBAMBA",0,0,0,0.273661506,72.8,33.44359199,5.76615496,242.4838457,0.6097,95.1745,10.1102,77.1683,52.5195,63.1177,118747,"NO","NO",3,2.74,32.489951,28.25,19.4,12.85,7.82,17.08,7.11,19.31,109043,47064,61979,56969,52074,20971,30342
"61","6","0106","01","AMAZONAS","RODRIGUEZ DE MENDOZA",0,0,0,0.269854467,74.59,26.69196515,5.772830353,249.4701175,0.6312,97.3431,14.8787,79.4244,46.5018,67.5461,30236,"NO","NO",1,2.39,23.47929,11.18,14.3,7.85,4.27,9.68,4.96,11.14,26389,8593,17796,13903,12486,6818,6027
"62","1","0101","01","AMAZONAS","CHACHAPOYAS",0,0,0,0.333526234,72.49,45.69293628,7.400031948,307.1951539,0.7737,98.6179,25.45,91.4986,70.3454,83.9712,54783,"NO","SI",2,2.32,20.658649,15,20.4,7.97,5.2,14.79,4.28,11.45,49700,34343,15357,24433,25267,13771,11710
"63","3","0103","01","AMAZONAS","BONGARA",0,0,0,0.278790345,72.19,29.58502215,6.135140457,260.9737658,0.6318,97.4681,9.0102,76.424,54.8341,72.1693,32317,"NO","NO",1,2.47,30.370397,9.57,21.4,8.87,5.92,13.65,4.47,13.61,27465,16460,11005,14148,13317,5128,7957
"64","2","0102","01","AMAZONAS","BAGUA",0,0,0,0.291630081,73.65,39.88207459,6.556958723,241.2874906,0.6623,94.6079,14.6091,79.7902,64.479,67.9146,77438,"NO","NO",2,2.81,40.005875,12.49,16.9,11.62,6.46,17.06,6.1,17.41,71757,33559,38198,36713,35044,17490,15426
"65","85","0905","09","HUANCAVELICA","CHURCAMPA",0,0,0,0.180170148,70.01,34.34381866,4.685073996,107.7526922,0.5615,97.9364,3.7926,75.4469,25.9138,75.1098,45172,"NO","NO",1,3.45,57.710753,36.43,28.8,25.06,11.23,29.85,12.47,36.9,44903,10183,34720,22144,22759,6406,6758
"66","84","0904","09","HUANCAVELICA","CASTROVIRREYNA",0,0,0,0.232990423,70.36,42.76740186,6.994531477,139.2614798,0.5652,98.0852,4.7333,99.5,20.8772,56.2698,19500,"NO","NO",1,2.49,49.199297,4.89,27.5,12.07,5.9,15.3,4.06,21.14,19500,6128,13372,10216,9284,3656,5616
"67","87","0907","09","HUANCAVELICA","TAYACAJA",0,0,0,0.18778678,71.16,37.82975178,4.795077568,110.1139857,0.5827,97.2705,4.6864,77.79,28.8652,79.6273,107715,"NO","NO",3,3.11,55.101324,31.12,24.8,21.14,13.05,24,10.7,31.11,104901,25677,79224,52038,52863,21611,14372
"68","86","0906","09","HUANCAVELICA","HUAYTARA",0,0,0,0.227282655,72.1,38.00363711,6.499570215,138.9557863,0.5709,97.4424,6.9062,93.0713,24.043,59.383,23361,"NO","NO",1,2.84,54.06438,3.6,21.7,13.47,7.38,16.01,5.51,22.45,23274,6752,16522,12257,11017,3614,6578
"69","81","0901","09","HUANCAVELICA","HUANCAVELICA",0,0,0,0.247550377,68.37,47.01915936,6.457328784,166.7370162,0.6477,98.9226,8.4463,83.9779,40.4136,86.4489,153773,"NO","SI",3,2.91,54.014461,33.86,34.9,17.42,8.48,24.9,8.24,25.74,142723,59851,82872,69600,73123,38509,20649
"70","83","0903","09","HUANCAVELICA","ANGARAES",0,0,0,0.190047552,69.31,41.37623523,4.610815058,115.058199,0.5913,98.439,3.004,76.8243,36.9268,78.4647,60816,"NO","NO",2,3.53,58.420091,28.43,31.4,25.68,15.51,30.42,13.26,36.96,55704,16086,39618,27252,28452,12068,9202
"71","82","0902","09","HUANCAVELICA","ACOBAMBA",0,0,0,0.191121268,71.43,36.69991793,4.670571496,116.6439457,0.5771,98.7516,2.6282,77.5408,31.1721,76.7208,73243,"NO","NO",2,2.63,55.162966,70.04,23.9,22,13.81,25.92,10.36,32.82,63792,19345,44447,31399,32393,9303,8726
"72","52","0510","05","AYACUCHO","VICTOR FAJARDO",0,0,0,0.214680238,72.19,26.89616561,5.223345082,156.7777784,0.6156,99.1369,8.7686,77.8064,46.8821,69.3787,24213,"NO","NO",1,3.74,41.280958,11.24,21.4,22.55,20.14,29.67,6.96,36.57,25412,18904,6508,12316,13096,5070,3701
"73","137","1510","15","LIMA","YAUYOS",0,0,0,0.292004737,70.17,58.68951628,8.504178248,189.8741388,0.6657,98.4199,14.4953,83.6558,52.3377,74.2986,27842,"NO","NO",1,4.28,40.040523,3.98,28.2,5.01,3.97,6.35,1.43,9.52,27501,15727,11774,14983,12518,5383,8211
"74","18","0211","02","ANCASH","HUARMEY",0,0,0,0.392569166,74.84,63.44189809,8.874695641,354.3308697,0.7574,98.0051,13.3628,95.5122,75.2566,87.6444,29972,"SI","NO",1,2.22,14.349451,7.12,13.6,4.09,2.93,7.86,2.25,6.08,27820,21100,6720,14476,13344,6384,10774
"75","17","0210","02","ANCASH","HUARI",0,0,0,0.250368522,71.13,44.13195568,5.80781931,177.573042,0.6746,97.3123,14.087,76.3536,60.0936,80.0751,63726,"NO","NO",2,3.35,46.115754,22.58,24.9,20.08,11.25,25.1,9.02,31.97,62598,22313,40285,32135,30463,18504,12582
