"","regionUbigeo","provinciaUbigeo","PROVINCIA","IDE","identidad","salud","educacion","saneamiento","electrificacion","poblacion","costa","capital","tamano","clustDIV"
"117",130000,130500,"JULCAN",0.5272,97.7276,9.0297,60.0022,54.2229,36.6195,32400,"NO","NO","Muy pequena",3
"118",130000,130600,"OTUZCO",0.5877,97.0273,11.9985,59.9136,61.6578,55.241,92237,"NO","NO","Pequena",3
"119",130000,130700,"PACASMAYO",0.7841,99.301,15.9519,93.8715,82.1331,90.1695,101954,"SI","NO","Mediana",1
"120",130000,130800,"PATAZ",0.6038,95.7538,11.8223,61.6108,58.1123,66.7366,85687,"NO","NO","Pequena",2
"121",130000,130900,"SANCHEZ CARRION",0.4838,96.212,8.273,48.1215,39.5255,44.2572,149616,"NO","NO","Mediana",3
"122",130000,131000,"SANTIAGO DE CHUCO",0.5667,98.0769,11.9058,68.7819,45.5874,51.0685,61329,"NO","NO","Pequena",3
"123",130000,131100,"GRAN CHIMU",0.5843,97.0097,10.7215,67.204,66.2424,43.8284,31402,"NO","NO","Muy pequena",3
"124",130000,131200,"VIRU",0.6949,98.3704,5.9394,74.0766,84.9306,80.1798,101167,"SI","NO","Mediana",1
"125",140000,140100,"CHICLAYO",0.8317,98.4564,25.7449,88.9529,86.0233,99.5,836299,"SI","SI","Grande",1
"126",140000,140200,"FERRENAFE",0.6891,96.8825,14.0778,73.4821,76.3114,74.4212,104820,"NO","NO","Mediana",1
"127",140000,140300,"LAMBAYEQUE",0.6604,97.899,8.3964,72.9188,73.0946,72.3053,288141,"SI","NO","Mediana",1
"128",150000,150100,"LIMA",0.8999,99.3591,38.3657,89.5797,97.5604,99.5,8481415,"SI","SI","Muy grande",1
"129",150000,150200,"BARRANCA",0.8118,99.295,21.4062,83.9918,96.9944,89.9645,143216,"SI","NO","Mediana",1
"130",150000,150300,"CAJATAMBO",0.6624,97.773,16.2382,78.1014,51.6375,76.623,8139,"NO","NO","Muy pequena",2
"131",150000,150400,"CANTA",0.6628,98.6936,29.0179,76.8965,39.9944,67.4349,14669,"NO","NO","Muy pequena",2
"132",150000,150500,"CANETE",0.7697,99.5034,16.3725,86.2599,86.3501,85.4381,222877,"SI","NO","Mediana",1
"133",150000,150600,"HUARAL",0.777,99.0524,17.7469,84.0086,85.1771,90.6684,182409,"SI","NO","Mediana",1
"134",150000,150700,"HUAROCHIRI",0.7134,99.0322,16.2867,81.9827,73.6597,74.8972,79177,"NO","NO","Pequena",1
"135",150000,150800,"HUAURA",0.7884,99.4633,22.032,84.1302,85.147,88.7237,213188,"SI","NO","Mediana",1
"136",150000,150900,"OYON",0.7104,99.0082,9.4051,77.9139,77.8538,84.76,22217,"NO","NO","Muy pequena",1
"137",150000,151000,"YAUYOS",0.6657,98.4199,14.4953,83.6558,52.3377,74.2986,27842,"NO","NO","Muy pequena",2
"138",160000,160100,"MAYNAS",0.6779,95.9809,12.4254,79.0188,57.2983,85.9357,550031,"NO","SI","Grande",1
"139",160000,160200,"ALTO AMAZONAS",0.5685,94.0398,10.814,61.7112,44.4909,66.0007,117163,"NO","NO","Mediana",2
"140",160000,160300,"LORETO",0.507,89.8845,6.2437,60.1239,32.464,60.621,69508,"NO","NO","Pequena",3
"141",160000,160400,"MARISCAL RAMON CASTILLA",0.4707,91.3034,4.5533,55.2372,23.2198,58.0174,67143,"NO","NO","Pequena",3
"142",160000,160500,"REQUENA",0.5378,92.4981,4.9098,64.907,27.0976,76.2223,72706,"NO","NO","Pequena",2
